,RunId,iteration,Step,n,m,d,c,agent_count,percentage_signers,percentage_fluent_signers,percentage_non_fluent_signers,percentage_deaf,percentage_carry
153,3,0,0,728,0.075,0.022,0.172,1456,0.057005494505494504,0.04326923076923077,0.013736263736263736,0.023351648351648352,0.2032967032967033
154,3,0,1,728,0.075,0.022,0.172,2184,0.1336996336996337,0.07005494505494506,0.06364468864468864,0.022435897435897436,0.21336996336996336
155,3,0,2,728,0.075,0.022,0.172,2912,0.3440934065934066,0.10370879120879122,0.2403846153846154,0.018887362637362636,0.22733516483516483
156,3,0,3,728,0.075,0.022,0.172,2912,0.40315934065934067,0.13255494505494506,0.2706043956043956,0.01407967032967033,0.2448489010989011
157,3,0,4,728,0.075,0.022,0.172,2912,0.4069368131868132,0.14766483516483517,0.25927197802197804,0.014423076923076924,0.25721153846153844
158,3,0,5,728,0.075,0.022,0.172,2912,0.3602335164835165,0.1411401098901099,0.2190934065934066,0.014423076923076924,0.26304945054945056
159,3,0,6,728,0.075,0.022,0.172,2912,0.354739010989011,0.11401098901098901,0.24072802197802198,0.020604395604395604,0.2544642857142857
160,3,0,7,728,0.075,0.022,0.172,2912,0.3904532967032967,0.1043956043956044,0.2860576923076923,0.024725274725274724,0.24622252747252749
161,3,0,8,728,0.075,0.022,0.172,2912,0.42032967032967034,0.09821428571428571,0.32211538461538464,0.023695054945054944,0.2441620879120879
162,3,0,9,728,0.075,0.022,0.172,2912,0.44677197802197804,0.10508241758241758,0.34168956043956045,0.02403846153846154,0.24107142857142858
163,3,0,10,728,0.075,0.022,0.172,2912,0.46565934065934067,0.11950549450549451,0.34615384615384615,0.022664835164835164,0.24622252747252749
164,3,0,11,728,0.075,0.022,0.172,2912,0.43543956043956045,0.11847527472527472,0.3169642857142857,0.018543956043956044,0.25858516483516486
165,3,0,12,728,0.075,0.022,0.172,2912,0.4491758241758242,0.12740384615384615,0.32177197802197804,0.020604395604395604,0.25618131868131866
166,3,0,13,728,0.075,0.022,0.172,2912,0.44711538461538464,0.13289835164835165,0.31421703296703296,0.022321428571428572,0.2506868131868132
167,3,0,14,728,0.075,0.022,0.172,2912,0.41998626373626374,0.12225274725274725,0.2977335164835165,0.019230769230769232,0.24690934065934067
168,3,0,15,728,0.075,0.022,0.172,2912,0.43612637362637363,0.12980769230769232,0.30631868131868134,0.019574175824175824,0.23282967032967034
169,3,0,16,728,0.075,0.022,0.172,2912,0.43028846153846156,0.13633241758241757,0.29395604395604397,0.016140109890109892,0.22561813186813187
170,3,0,17,728,0.075,0.022,0.172,2912,0.3695054945054945,0.12637362637362637,0.24313186813186813,0.01201923076923077,0.21634615384615385
171,3,0,18,728,0.075,0.022,0.172,2912,0.32623626373626374,0.11778846153846154,0.2084478021978022,0.011332417582417582,0.20398351648351648
172,3,0,19,728,0.075,0.022,0.172,2912,0.28846153846153844,0.10027472527472528,0.18818681318681318,0.013736263736263736,0.19230769230769232
173,3,0,20,728,0.075,0.022,0.172,2912,0.28983516483516486,0.08173076923076923,0.20810439560439561,0.01510989010989011,0.18269230769230768
174,3,0,21,728,0.075,0.022,0.172,2912,0.3173076923076923,0.08035714285714286,0.23695054945054944,0.014423076923076924,0.18646978021978022
175,3,0,22,728,0.075,0.022,0.172,2912,0.34615384615384615,0.08756868131868131,0.25858516483516486,0.01407967032967033,0.18475274725274726
176,3,0,23,728,0.075,0.022,0.172,2912,0.3228021978021978,0.08516483516483517,0.23763736263736263,0.009958791208791208,0.18440934065934067
177,3,0,24,728,0.075,0.022,0.172,2912,0.270260989010989,0.0779532967032967,0.19230769230769232,0.007211538461538462,0.1875
178,3,0,25,728,0.075,0.022,0.172,2912,0.23798076923076922,0.06696428571428571,0.17101648351648352,0.005837912087912088,0.17994505494505494
179,3,0,26,728,0.075,0.022,0.172,2912,0.20157967032967034,0.04120879120879121,0.16037087912087913,0.004807692307692308,0.17582417582417584
180,3,0,27,728,0.075,0.022,0.172,2912,0.18818681318681318,0.027815934065934064,0.16037087912087913,0.005151098901098901,0.17101648351648352
181,3,0,28,728,0.075,0.022,0.172,2912,0.20810439560439561,0.01510989010989011,0.1929945054945055,0.006524725274725275,0.1617445054945055
182,3,0,29,728,0.075,0.022,0.172,2912,0.19093406593406592,0.0006868131868131869,0.19024725274725274,0.006181318681318681,0.15281593406593408
183,3,0,30,728,0.075,0.022,0.172,2912,0.1565934065934066,0.0,0.1565934065934066,0.006524725274725275,0.14354395604395603
184,3,0,31,728,0.075,0.022,0.172,2912,0.14217032967032966,0.0,0.14217032967032966,0.005494505494505495,0.13392857142857142
185,3,0,32,728,0.075,0.022,0.172,2912,0.11366758241758242,0.0,0.11366758241758242,0.004464285714285714,0.12843406593406592
186,3,0,33,728,0.075,0.022,0.172,2912,0.10782967032967034,0.0,0.10782967032967034,0.004120879120879121,0.12396978021978022
187,3,0,34,728,0.075,0.022,0.172,2912,0.09478021978021978,0.0,0.09478021978021978,0.0037774725274725275,0.12362637362637363
188,3,0,35,728,0.075,0.022,0.172,2912,0.08756868131868131,0.0,0.08756868131868131,0.006181318681318681,0.12637362637362637
189,3,0,36,728,0.075,0.022,0.172,2912,0.10679945054945054,0.0,0.10679945054945054,0.005837912087912088,0.13324175824175824
190,3,0,37,728,0.075,0.022,0.172,2912,0.1624313186813187,0.0,0.1624313186813187,0.005837912087912088,0.13839285714285715
191,3,0,38,728,0.075,0.022,0.172,2912,0.17651098901098902,0.0,0.17651098901098902,0.004120879120879121,0.13427197802197802
192,3,0,39,728,0.075,0.022,0.172,2912,0.13598901098901098,0.0,0.13598901098901098,0.001717032967032967,0.12671703296703296
193,3,0,40,728,0.075,0.022,0.172,2912,0.08585164835164835,0.0,0.08585164835164835,0.0010302197802197802,0.1092032967032967
194,3,0,41,728,0.075,0.022,0.172,2912,0.06078296703296703,0.0,0.06078296703296703,0.001717032967032967,0.10096153846153846
