,RunId,iteration,Step,n,m,d,c,agent_count,percentage_signers,percentage_fluent_signers,percentage_non_fluent_signers,percentage_deaf,percentage_carry
255,5,0,0,728,0.58,0.1,0.172,1456,0.1201923076923077,0.10164835164835165,0.018543956043956044,0.07486263736263736,0.18406593406593408
256,5,0,1,728,0.58,0.1,0.172,2184,0.2174908424908425,0.13278388278388278,0.08470695970695971,0.07188644688644688,0.18543956043956045
257,5,0,2,728,0.58,0.1,0.172,2912,0.3942307692307692,0.17548076923076922,0.21875,0.06696428571428571,0.1878434065934066
258,5,0,3,728,0.58,0.1,0.172,2912,0.4481456043956044,0.21875,0.22939560439560439,0.057005494505494504,0.1974587912087912
259,5,0,4,728,0.58,0.1,0.172,2912,0.47012362637362637,0.26407967032967034,0.20604395604395603,0.059065934065934064,0.19471153846153846
260,5,0,5,728,0.58,0.1,0.172,2912,0.45123626373626374,0.2760989010989011,0.17513736263736263,0.057005494505494504,0.19642857142857142
261,5,0,6,728,0.58,0.1,0.172,2912,0.4323489010989011,0.2616758241758242,0.17067307692307693,0.05803571428571429,0.20089285714285715
262,5,0,7,728,0.58,0.1,0.172,2912,0.43440934065934067,0.25961538461538464,0.17479395604395603,0.05357142857142857,0.20192307692307693
263,5,0,8,728,0.58,0.1,0.172,2912,0.39320054945054944,0.2338598901098901,0.15934065934065933,0.042925824175824176,0.2087912087912088
264,5,0,9,728,0.58,0.1,0.172,2912,0.3705357142857143,0.22081043956043955,0.14972527472527472,0.036401098901098904,0.21462912087912087
265,5,0,10,728,0.58,0.1,0.172,2912,0.3550824175824176,0.2036401098901099,0.15144230769230768,0.030906593406593408,0.21394230769230768
266,5,0,11,728,0.58,0.1,0.172,2912,0.3581730769230769,0.19127747252747251,0.16689560439560439,0.03159340659340659,0.21978021978021978
267,5,0,12,728,0.58,0.1,0.172,2912,0.36813186813186816,0.19505494505494506,0.17307692307692307,0.03571428571428571,0.22218406593406592
268,5,0,13,728,0.58,0.1,0.172,2912,0.3794642857142857,0.19024725274725274,0.18921703296703296,0.036744505494505496,0.22287087912087913
269,5,0,14,728,0.58,0.1,0.172,2912,0.3753434065934066,0.19024725274725274,0.18509615384615385,0.03777472527472527,0.2283653846153846
270,5,0,15,728,0.58,0.1,0.172,2912,0.3791208791208791,0.18475274725274726,0.19436813186813187,0.040865384615384616,0.22767857142857142
271,5,0,16,728,0.58,0.1,0.172,2912,0.3983516483516483,0.18646978021978022,0.21188186813186813,0.042582417582417584,0.22973901098901098
272,5,0,17,728,0.58,0.1,0.172,2912,0.43440934065934067,0.2091346153846154,0.22527472527472528,0.04773351648351648,0.2338598901098901
273,5,0,18,728,0.58,0.1,0.172,2912,0.4766483516483517,0.22630494505494506,0.2503434065934066,0.053228021978021976,0.23248626373626374
274,5,0,19,728,0.58,0.1,0.172,2912,0.45947802197802196,0.23901098901098902,0.22046703296703296,0.05391483516483517,0.2438186813186813
275,5,0,20,728,0.58,0.1,0.172,2912,0.4807692307692308,0.2548076923076923,0.22596153846153846,0.05460164835164835,0.25171703296703296
276,5,0,21,728,0.58,0.1,0.172,2912,0.4684065934065934,0.2510302197802198,0.21737637362637363,0.049107142857142856,0.26304945054945056
277,5,0,22,728,0.58,0.1,0.172,2912,0.47012362637362637,0.24828296703296704,0.22184065934065933,0.0415521978021978,0.27232142857142855
278,5,0,23,728,0.58,0.1,0.172,2912,0.4581043956043956,0.24793956043956045,0.21016483516483517,0.038461538461538464,0.2654532967032967
279,5,0,24,728,0.58,0.1,0.172,2912,0.4217032967032967,0.22664835164835165,0.19505494505494506,0.03708791208791209,0.24931318681318682
280,5,0,25,728,0.58,0.1,0.172,2912,0.38255494505494503,0.21119505494505494,0.1713598901098901,0.03777472527472527,0.23592032967032966
281,5,0,26,728,0.58,0.1,0.172,2912,0.3715659340659341,0.20604395604395603,0.16552197802197802,0.03983516483516483,0.22252747252747251
282,5,0,27,728,0.58,0.1,0.172,2912,0.3760302197802198,0.20947802197802198,0.1665521978021978,0.03743131868131868,0.20982142857142858
283,5,0,28,728,0.58,0.1,0.172,2912,0.3543956043956044,0.20089285714285715,0.15350274725274726,0.032280219780219783,0.2026098901098901
284,5,0,29,728,0.58,0.1,0.172,2912,0.32245879120879123,0.1971153846153846,0.1253434065934066,0.033997252747252744,0.18956043956043955
285,5,0,30,728,0.58,0.1,0.172,2912,0.3080357142857143,0.1823489010989011,0.12568681318681318,0.03159340659340659,0.18681318681318682
286,5,0,31,728,0.58,0.1,0.172,2912,0.3475274725274725,0.16861263736263737,0.17891483516483517,0.03502747252747253,0.19024725274725274
287,5,0,32,728,0.58,0.1,0.172,2912,0.41517857142857145,0.18887362637362637,0.22630494505494506,0.03811813186813187,0.20432692307692307
288,5,0,33,728,0.58,0.1,0.172,2912,0.39869505494505497,0.19230769230769232,0.20638736263736263,0.036744505494505496,0.21600274725274726
289,5,0,34,728,0.58,0.1,0.172,2912,0.39629120879120877,0.20535714285714285,0.19093406593406592,0.04017857142857143,0.22699175824175824
290,5,0,35,728,0.58,0.1,0.172,2912,0.3914835164835165,0.19883241758241757,0.1926510989010989,0.040865384615384616,0.23729395604395603
291,5,0,36,728,0.58,0.1,0.172,2912,0.41586538461538464,0.19471153846153846,0.22115384615384615,0.044642857142857144,0.2403846153846154
292,5,0,37,728,0.58,0.1,0.172,2912,0.45604395604395603,0.21600274725274726,0.2400412087912088,0.055288461538461536,0.24210164835164835
293,5,0,38,728,0.58,0.1,0.172,2912,0.4453983516483517,0.21188186813186813,0.23351648351648352,0.061813186813186816,0.24587912087912087
294,5,0,39,728,0.58,0.1,0.172,2912,0.48660714285714285,0.23832417582417584,0.24828296703296704,0.06490384615384616,0.2623626373626374
295,5,0,40,728,0.58,0.1,0.172,2912,0.5212912087912088,0.2692307692307692,0.25206043956043955,0.07039835164835165,0.27850274725274726
296,5,0,41,728,0.58,0.1,0.172,2912,0.5127060439560439,0.27232142857142855,0.2403846153846154,0.06559065934065934,0.30322802197802196
297,5,0,42,728,0.58,0.1,0.172,2912,0.5470467032967034,0.3090659340659341,0.23798076923076922,0.07108516483516483,0.31490384615384615
298,5,0,43,728,0.58,0.1,0.172,2912,0.6061126373626373,0.3440934065934066,0.2620192307692308,0.07898351648351648,0.3046016483516483
299,5,0,44,728,0.58,0.1,0.172,2912,0.6019917582417582,0.35748626373626374,0.2445054945054945,0.08104395604395605,0.2932692307692308
300,5,0,45,728,0.58,0.1,0.172,2912,0.6208791208791209,0.38770604395604397,0.23317307692307693,0.08482142857142858,0.2767857142857143
301,5,0,46,728,0.58,0.1,0.172,2912,0.6432005494505495,0.42032967032967034,0.22287087912087913,0.08550824175824176,0.2657967032967033
302,5,0,47,728,0.58,0.1,0.172,2912,0.6092032967032966,0.4110576923076923,0.19814560439560439,0.08516483516483517,0.26270604395604397
303,5,0,48,728,0.58,0.1,0.172,2912,0.6095467032967034,0.4107142857142857,0.19883241758241757,0.07898351648351648,0.27129120879120877
304,5,0,49,728,0.58,0.1,0.172,2912,0.626717032967033,0.42342032967032966,0.2032967032967033,0.07211538461538461,0.27987637362637363
305,5,0,50,728,0.58,0.1,0.172,2912,0.5989010989010989,0.3983516483516483,0.20054945054945056,0.06387362637362637,0.27815934065934067
663,13,1,0,728,0.58,0.1,0.172,1456,0.12637362637362637,0.1092032967032967,0.017170329670329672,0.07486263736263736,0.1778846153846154
664,13,1,1,728,0.58,0.1,0.172,2184,0.24496336996336995,0.15247252747252749,0.0924908424908425,0.06547619047619048,0.19963369963369965
665,13,1,2,728,0.58,0.1,0.172,2912,0.47630494505494503,0.22012362637362637,0.25618131868131866,0.06318681318681318,0.20398351648351648
666,13,1,3,728,0.58,0.1,0.172,2912,0.5260989010989011,0.27266483516483514,0.2534340659340659,0.05563186813186813,0.21771978021978022
667,13,1,4,728,0.58,0.1,0.172,2912,0.4728708791208791,0.29429945054945056,0.17857142857142858,0.05151098901098901,0.22287087912087913
668,13,1,5,728,0.58,0.1,0.172,2912,0.44505494505494503,0.2891483516483517,0.1559065934065934,0.051167582417582416,0.21943681318681318
669,13,1,6,728,0.58,0.1,0.172,2912,0.46256868131868134,0.2551510989010989,0.20741758241758243,0.04979395604395604,0.2290521978021978
