,RunId,iteration,Step,n,m,d,c,agent_count,percentage_signers,percentage_fluent_signers,percentage_non_fluent_signers,percentage_deaf,percentage_carry
51,1,0,0,728,0.58,0.022,0.172,1456,0.027472527472527472,0.022664835164835164,0.004807692307692308,0.01510989010989011,0.18612637362637363
52,1,0,1,728,0.58,0.022,0.172,2184,0.05311355311355311,0.03021978021978022,0.022893772893772892,0.014652014652014652,0.17765567765567766
53,1,0,2,728,0.58,0.022,0.172,2912,0.13907967032967034,0.04567307692307692,0.09340659340659341,0.015453296703296704,0.1723901098901099
54,1,0,3,728,0.58,0.022,0.172,2912,0.15865384615384615,0.054945054945054944,0.10370879120879122,0.01407967032967033,0.16483516483516483
55,1,0,4,728,0.58,0.022,0.172,2912,0.16895604395604397,0.0676510989010989,0.10130494505494506,0.014766483516483516,0.1624313186813187
56,1,0,5,728,0.58,0.022,0.172,2912,0.21188186813186813,0.08104395604395605,0.1308379120879121,0.016483516483516484,0.16758241758241757
57,1,0,6,728,0.58,0.022,0.172,2912,0.2084478021978022,0.07967032967032966,0.12877747252747251,0.017513736263736264,0.17101648351648352
58,1,0,7,728,0.58,0.022,0.172,2912,0.24587912087912087,0.09100274725274725,0.15487637362637363,0.019230769230769232,0.17651098901098902
59,1,0,8,728,0.58,0.022,0.172,2912,0.2441620879120879,0.08825549450549451,0.1559065934065934,0.021634615384615384,0.18406593406593408
60,1,0,9,728,0.58,0.022,0.172,2912,0.2613324175824176,0.08962912087912088,0.1717032967032967,0.020604395604395604,0.1871565934065934
61,1,0,10,728,0.58,0.022,0.172,2912,0.3131868131868132,0.09787087912087912,0.21531593406593408,0.020604395604395604,0.18887362637362637
62,1,0,11,728,0.58,0.022,0.172,2912,0.2963598901098901,0.09375,0.2026098901098901,0.020604395604395604,0.19436813186813187
63,1,0,12,728,0.58,0.022,0.172,2912,0.3128434065934066,0.10508241758241758,0.20776098901098902,0.019574175824175824,0.19608516483516483
64,1,0,13,728,0.58,0.022,0.172,2912,0.33722527472527475,0.11023351648351648,0.22699175824175824,0.020260989010989012,0.19814560439560439
65,1,0,14,728,0.58,0.022,0.172,2912,0.29876373626373626,0.10027472527472528,0.19848901098901098,0.024725274725274724,0.19814560439560439
66,1,0,15,728,0.58,0.022,0.172,2912,0.3046016483516483,0.11401098901098901,0.19059065934065933,0.02815934065934066,0.19986263736263737
67,1,0,16,728,0.58,0.022,0.172,2912,0.31868131868131866,0.11263736263736264,0.20604395604395603,0.03708791208791209,0.20638736263736263
68,1,0,17,728,0.58,0.022,0.172,2912,0.36881868131868134,0.11710164835164835,0.25171703296703296,0.04532967032967033,0.21188186813186813
69,1,0,18,728,0.58,0.022,0.172,2912,0.40796703296703296,0.13186813186813187,0.2760989010989011,0.044986263736263736,0.22767857142857142
70,1,0,19,728,0.58,0.022,0.172,2912,0.40865384615384615,0.13873626373626374,0.2699175824175824,0.04395604395604396,0.23282967032967034
71,1,0,20,728,0.58,0.022,0.172,2912,0.42788461538461536,0.17032967032967034,0.25755494505494503,0.038461538461538464,0.23145604395604397
72,1,0,21,728,0.58,0.022,0.172,2912,0.44677197802197804,0.19986263736263737,0.24690934065934067,0.034340659340659344,0.23145604395604397
73,1,0,22,728,0.58,0.022,0.172,2912,0.39972527472527475,0.20432692307692307,0.19539835164835165,0.034340659340659344,0.22321428571428573
74,1,0,23,728,0.58,0.022,0.172,2912,0.4179258241758242,0.21531593406593408,0.2026098901098901,0.03811813186813187,0.2129120879120879
75,1,0,24,728,0.58,0.022,0.172,2912,0.39800824175824173,0.20467032967032966,0.1933379120879121,0.04120879120879121,0.20982142857142858
76,1,0,25,728,0.58,0.022,0.172,2912,0.3956043956043956,0.18475274725274726,0.21085164835164835,0.040865384615384616,0.2125686813186813
77,1,0,26,728,0.58,0.022,0.172,2912,0.4519230769230769,0.2026098901098901,0.24931318681318682,0.03914835164835165,0.22081043956043955
78,1,0,27,728,0.58,0.022,0.172,2912,0.43887362637362637,0.20432692307692307,0.2345467032967033,0.033997252747252744,0.22939560439560439
79,1,0,28,728,0.58,0.022,0.172,2912,0.4007554945054945,0.19848901098901098,0.20226648351648352,0.029876373626373628,0.22767857142857142
80,1,0,29,728,0.58,0.022,0.172,2912,0.36607142857142855,0.1929945054945055,0.17307692307692307,0.028846153846153848,0.22149725274725274
81,1,0,30,728,0.58,0.022,0.172,2912,0.3389423076923077,0.16895604395604397,0.16998626373626374,0.026442307692307692,0.2190934065934066
82,1,0,31,728,0.58,0.022,0.172,2912,0.35233516483516486,0.15281593406593408,0.19951923076923078,0.02506868131868132,0.21668956043956045
83,1,0,32,728,0.58,0.022,0.172,2912,0.33516483516483514,0.1510989010989011,0.18406593406593408,0.0260989010989011,0.21462912087912087
84,1,0,33,728,0.58,0.022,0.172,2912,0.30666208791208793,0.13839285714285715,0.16826923076923078,0.024381868131868132,0.20982142857142858
85,1,0,34,728,0.58,0.022,0.172,2912,0.27918956043956045,0.12603021978021978,0.15315934065934067,0.023695054945054944,0.1978021978021978
86,1,0,35,728,0.58,0.022,0.172,2912,0.30254120879120877,0.12087912087912088,0.1816620879120879,0.021634615384615384,0.19505494505494506
87,1,0,36,728,0.58,0.022,0.172,2912,0.2891483516483517,0.10989010989010989,0.17925824175824176,0.018887362637362636,0.19402472527472528
88,1,0,37,728,0.58,0.022,0.172,2912,0.28399725274725274,0.10989010989010989,0.17410714285714285,0.020947802197802196,0.19608516483516483
89,1,0,38,728,0.58,0.022,0.172,2912,0.27918956043956045,0.10817307692307693,0.17101648351648352,0.021634615384615384,0.1978021978021978
