,RunId,iteration,Step,n,m,d,c,agent_count,percentage_signers,percentage_fluent_signers,percentage_non_fluent_signers,percentage_deaf,percentage_carry
255,5,0,0,728,0.25,0.022,0.172,1456,0.02403846153846154,0.017857142857142856,0.006181318681318681,0.012362637362637362,0.17513736263736263
256,5,0,1,728,0.25,0.022,0.172,2184,0.04624542124542125,0.0260989010989011,0.020146520146520148,0.010531135531135532,0.1771978021978022
257,5,0,2,728,0.25,0.022,0.172,2912,0.12396978021978022,0.038461538461538464,0.08550824175824176,0.008241758241758242,0.17960164835164835
258,5,0,3,728,0.25,0.022,0.172,2912,0.22012362637362637,0.04773351648351648,0.1723901098901099,0.008585164835164836,0.17548076923076922
259,5,0,4,728,0.25,0.022,0.172,2912,0.22596153846153846,0.04945054945054945,0.17651098901098902,0.007898351648351648,0.17857142857142858
260,5,0,5,728,0.25,0.022,0.172,2912,0.2087912087912088,0.046703296703296704,0.1620879120879121,0.009271978021978022,0.18372252747252749
261,5,0,6,728,0.25,0.022,0.172,2912,0.2623626373626374,0.044642857142857144,0.21771978021978022,0.011675824175824176,0.19574175824175824
262,5,0,7,728,0.25,0.022,0.172,2912,0.26820054945054944,0.0415521978021978,0.22664835164835165,0.010645604395604396,0.20982142857142858
263,5,0,8,728,0.25,0.022,0.172,2912,0.3169642857142857,0.04635989010989011,0.2706043956043956,0.01304945054945055,0.21394230769230768
264,5,0,9,728,0.25,0.022,0.172,2912,0.2651098901098901,0.04361263736263736,0.22149725274725274,0.01510989010989011,0.21600274725274726
265,5,0,10,728,0.25,0.022,0.172,2912,0.27472527472527475,0.03949175824175824,0.23523351648351648,0.015796703296703296,0.20947802197802198
266,5,0,11,728,0.25,0.022,0.172,2912,0.30563186813186816,0.0415521978021978,0.26407967032967034,0.016140109890109892,0.20810439560439561
267,5,0,12,728,0.25,0.022,0.172,2912,0.32005494505494503,0.038804945054945056,0.28125,0.01510989010989011,0.20570054945054944
268,5,0,13,728,0.25,0.022,0.172,2912,0.32005494505494503,0.04361263736263736,0.2764423076923077,0.013392857142857142,0.19917582417582416
269,5,0,14,728,0.25,0.022,0.172,2912,0.30597527472527475,0.03777472527472527,0.26820054945054944,0.012362637362637362,0.19024725274725274
270,5,0,15,728,0.25,0.022,0.172,2912,0.2664835164835165,0.03571428571428571,0.23076923076923078,0.009271978021978022,0.1875
271,5,0,16,728,0.25,0.022,0.172,2912,0.25686813186813184,0.04223901098901099,0.21462912087912087,0.008585164835164836,0.18646978021978022
272,5,0,17,728,0.25,0.022,0.172,2912,0.23935439560439561,0.042582417582417584,0.19677197802197802,0.007211538461538462,0.19574175824175824
273,5,0,18,728,0.25,0.022,0.172,2912,0.23935439560439561,0.0415521978021978,0.1978021978021978,0.006524725274725275,0.2091346153846154
274,5,0,19,728,0.25,0.022,0.172,2912,0.2778159340659341,0.04395604395604396,0.2338598901098901,0.010302197802197802,0.20741758241758243
275,5,0,20,728,0.25,0.022,0.172,2912,0.27163461538461536,0.03537087912087912,0.23626373626373626,0.010645604395604396,0.21188186813186813
276,5,0,21,728,0.25,0.022,0.172,2912,0.27266483516483514,0.030906593406593408,0.24175824175824176,0.012706043956043956,0.21050824175824176
277,5,0,22,728,0.25,0.022,0.172,2912,0.3272664835164835,0.028502747252747252,0.29876373626373626,0.018543956043956044,0.2084478021978022
278,5,0,23,728,0.25,0.022,0.172,2912,0.30357142857142855,0.022664835164835164,0.2809065934065934,0.020604395604395604,0.2135989010989011
279,5,0,24,728,0.25,0.022,0.172,2912,0.33791208791208793,0.024381868131868132,0.3135302197802198,0.021291208791208792,0.22012362637362637
280,5,0,25,728,0.25,0.022,0.172,2912,0.3894230769230769,0.034340659340659344,0.3550824175824176,0.02197802197802198,0.2290521978021978
281,5,0,26,728,0.25,0.022,0.172,2912,0.4007554945054945,0.05048076923076923,0.35027472527472525,0.021634615384615384,0.23660714285714285
282,5,0,27,728,0.25,0.022,0.172,2912,0.40934065934065933,0.057005494505494504,0.35233516483516486,0.02197802197802198,0.24828296703296704
283,5,0,28,728,0.25,0.022,0.172,2912,0.39697802197802196,0.06627747252747253,0.33070054945054944,0.02712912087912088,0.24656593406593408
284,5,0,29,728,0.25,0.022,0.172,2912,0.40384615384615385,0.07005494505494506,0.33379120879120877,0.02918956043956044,0.23832417582417584
285,5,0,30,728,0.25,0.022,0.172,2912,0.39972527472527475,0.061469780219780217,0.3382554945054945,0.02918956043956044,0.23660714285714285
286,5,0,31,728,0.25,0.022,0.172,2912,0.4323489010989011,0.06868131868131869,0.3636675824175824,0.029876373626373628,0.2342032967032967
287,5,0,32,728,0.25,0.022,0.172,2912,0.43166208791208793,0.07280219780219781,0.3588598901098901,0.029876373626373628,0.24107142857142858
288,5,0,33,728,0.25,0.022,0.172,2912,0.4563873626373626,0.08104395604395605,0.3753434065934066,0.029532967032967032,0.2554945054945055
289,5,0,34,728,0.25,0.022,0.172,2912,0.4677197802197802,0.09821428571428571,0.3695054945054945,0.030563186813186812,0.26339285714285715
290,5,0,35,728,0.25,0.022,0.172,2912,0.4543269230769231,0.09443681318681318,0.3598901098901099,0.03537087912087912,0.25652472527472525
291,5,0,36,728,0.25,0.022,0.172,2912,0.4182692307692308,0.08928571428571429,0.3289835164835165,0.03708791208791209,0.24725274725274726
292,5,0,37,728,0.25,0.022,0.172,2912,0.4258241758241758,0.08138736263736264,0.3444368131868132,0.038461538461538464,0.23832417582417584
293,5,0,38,728,0.25,0.022,0.172,2912,0.4649725274725275,0.07967032967032966,0.3853021978021978,0.03331043956043956,0.23695054945054944
294,5,0,39,728,0.25,0.022,0.172,2912,0.4879807692307692,0.08447802197802198,0.40350274725274726,0.029876373626373628,0.2448489010989011
295,5,0,40,728,0.25,0.022,0.172,2912,0.4478021978021978,0.08619505494505494,0.36160714285714285,0.027472527472527472,0.2445054945054945
296,5,0,41,728,0.25,0.022,0.172,2912,0.37706043956043955,0.08791208791208792,0.2891483516483517,0.025755494505494504,0.2400412087912088
297,5,0,42,728,0.25,0.022,0.172,2912,0.4371565934065934,0.10645604395604395,0.33070054945054944,0.029532967032967032,0.2290521978021978
298,5,0,43,728,0.25,0.022,0.172,2912,0.43578296703296704,0.12946428571428573,0.30631868131868134,0.026442307692307692,0.22184065934065933
299,5,0,44,728,0.25,0.022,0.172,2912,0.40934065934065933,0.15178571428571427,0.25755494505494503,0.021291208791208792,0.22287087912087913
300,5,0,45,728,0.25,0.022,0.172,2912,0.42342032967032966,0.1813186813186813,0.24210164835164835,0.018543956043956044,0.22355769230769232
301,5,0,46,728,0.25,0.022,0.172,2912,0.4007554945054945,0.18475274725274726,0.21600274725274726,0.016140109890109892,0.2249313186813187
302,5,0,47,728,0.25,0.022,0.172,2912,0.35267857142857145,0.1717032967032967,0.18097527472527472,0.016140109890109892,0.22939560439560439
303,5,0,48,728,0.25,0.022,0.172,2912,0.33688186813186816,0.16071428571428573,0.17616758241758243,0.018887362637362636,0.22355769230769232
304,5,0,49,728,0.25,0.022,0.172,2912,0.3073489010989011,0.13873626373626374,0.16861263736263737,0.019574175824175824,0.21153846153846154
305,5,0,50,728,0.25,0.022,0.172,2912,0.28365384615384615,0.11607142857142858,0.16758241758241757,0.019230769230769232,0.19677197802197802
561,11,1,0,728,0.25,0.022,0.172,1456,0.028846153846153848,0.021291208791208792,0.007554945054945055,0.012362637362637362,0.19642857142857142
562,11,1,1,728,0.25,0.022,0.172,2184,0.050824175824175824,0.027472527472527472,0.023351648351648352,0.011904761904761904,0.1987179487179487
563,11,1,2,728,0.25,0.022,0.172,2912,0.16346153846153846,0.04189560439560439,0.12156593406593406,0.01201923076923077,0.2087912087912088
564,11,1,3,728,0.25,0.022,0.172,2912,0.21943681318681318,0.044986263736263736,0.17445054945054944,0.013736263736263736,0.22081043956043955
565,11,1,4,728,0.25,0.022,0.172,2912,0.25618131868131866,0.04945054945054945,0.20673076923076922,0.019574175824175824,0.23248626373626374
566,11,1,5,728,0.25,0.022,0.172,2912,0.29945054945054944,0.053228021978021976,0.24622252747252749,0.02403846153846154,0.24141483516483517
