,RunId,iteration,Step,n,m,d,c,agent_count,percentage_signers,percentage_fluent_signers,percentage_non_fluent_signers,percentage_deaf,percentage_carry
153,3,0,0,728,0.58,0.05,0.172,1456,0.059065934065934064,0.050824175824175824,0.008241758241758242,0.044642857142857144,0.1771978021978022
154,3,0,1,728,0.58,0.05,0.172,2184,0.10805860805860806,0.0641025641025641,0.04395604395604396,0.03891941391941392,0.1749084249084249
155,3,0,2,728,0.58,0.05,0.172,2912,0.2541208791208791,0.09752747252747253,0.1565934065934066,0.036057692307692304,0.18097527472527472
156,3,0,3,728,0.58,0.05,0.172,2912,0.3516483516483517,0.13598901098901098,0.21565934065934067,0.03708791208791209,0.18097527472527472
157,3,0,4,728,0.58,0.05,0.172,2912,0.36538461538461536,0.16105769230769232,0.20432692307692307,0.03743131868131868,0.19059065934065933
158,3,0,5,728,0.58,0.05,0.172,2912,0.4072802197802198,0.1823489010989011,0.2249313186813187,0.04120879120879121,0.20501373626373626
159,3,0,6,728,0.58,0.05,0.172,2912,0.4429945054945055,0.18646978021978022,0.25652472527472525,0.04120879120879121,0.21016483516483517
160,3,0,7,728,0.58,0.05,0.172,2912,0.45535714285714285,0.19608516483516483,0.25927197802197804,0.03743131868131868,0.22149725274725274
161,3,0,8,728,0.58,0.05,0.172,2912,0.40315934065934067,0.1926510989010989,0.21050824175824176,0.034340659340659344,0.21943681318681318
162,3,0,9,728,0.58,0.05,0.172,2912,0.37637362637362637,0.1933379120879121,0.18303571428571427,0.03296703296703297,0.21668956043956045
163,3,0,10,728,0.58,0.05,0.172,2912,0.3605769230769231,0.1813186813186813,0.17925824175824176,0.034684065934065936,0.22355769230769232
164,3,0,11,728,0.58,0.05,0.172,2912,0.3272664835164835,0.1507554945054945,0.17651098901098902,0.036744505494505496,0.22012362637362637
165,3,0,12,728,0.58,0.05,0.172,2912,0.34065934065934067,0.15968406593406592,0.18097527472527472,0.03811813186813187,0.23179945054945056
166,3,0,13,728,0.58,0.05,0.172,2912,0.3705357142857143,0.1658653846153846,0.20467032967032966,0.040521978021978024,0.2400412087912088
167,3,0,14,728,0.58,0.05,0.172,2912,0.43956043956043955,0.18887362637362637,0.2506868131868132,0.04017857142857143,0.24347527472527472
168,3,0,15,728,0.58,0.05,0.172,2912,0.44642857142857145,0.22046703296703296,0.22596153846153846,0.03914835164835165,0.2551510989010989
169,3,0,16,728,0.58,0.05,0.172,2912,0.49038461538461536,0.25137362637362637,0.23901098901098902,0.03914835164835165,0.25171703296703296
170,3,0,17,728,0.58,0.05,0.172,2912,0.457760989010989,0.25721153846153844,0.20054945054945056,0.036744505494505496,0.24553571428571427
171,3,0,18,728,0.58,0.05,0.172,2912,0.4217032967032967,0.2438186813186813,0.1778846153846154,0.038461538461538464,0.23866758241758243
172,3,0,19,728,0.58,0.05,0.172,2912,0.41346153846153844,0.23695054945054944,0.17651098901098902,0.042582417582417584,0.23111263736263737
173,3,0,20,728,0.58,0.05,0.172,2912,0.41483516483516486,0.22046703296703296,0.19436813186813187,0.047046703296703296,0.23282967032967034
174,3,0,21,728,0.58,0.05,0.172,2912,0.4217032967032967,0.22149725274725274,0.20020604395604397,0.05563186813186813,0.23695054945054944
175,3,0,22,728,0.58,0.05,0.172,2912,0.46050824175824173,0.2342032967032967,0.22630494505494506,0.061469780219780217,0.24759615384615385
176,3,0,23,728,0.58,0.05,0.172,2912,0.4896978021978022,0.2445054945054945,0.24519230769230768,0.06353021978021978,0.26339285714285715
177,3,0,24,728,0.58,0.05,0.172,2912,0.5157967032967034,0.2620192307692308,0.2537774725274725,0.06696428571428571,0.2620192307692308
178,3,0,25,728,0.58,0.05,0.172,2912,0.5206043956043956,0.2774725274725275,0.24313186813186813,0.06902472527472528,0.2623626373626374
179,3,0,26,728,0.58,0.05,0.172,2912,0.4886675824175824,0.2767857142857143,0.21188186813186813,0.07280219780219781,0.2544642857142857
180,3,0,27,728,0.58,0.05,0.172,2912,0.5243818681318682,0.2970467032967033,0.22733516483516483,0.07486263736263736,0.2496565934065934
181,3,0,28,728,0.58,0.05,0.172,2912,0.564217032967033,0.3173076923076923,0.24690934065934067,0.07760989010989011,0.2537774725274725
182,3,0,29,728,0.58,0.05,0.172,2912,0.5683379120879121,0.3334478021978022,0.2348901098901099,0.07760989010989011,0.2554945054945055
